time,queue length n,outflow,inflow,AtoB Lead st,AtoB Lead ut,AtoB last st,AtoB last ut,AtoBTT,AtoBEF,AtoBSpeed,BtoA Lead st,BtoA Lead ut,BtoA last st,BtoA last ut,BtoATT,BtoAEF,BtoASpeed,AtoC Lead st,AtoC Lead ut,AtoC last st,AtoC last ut,AtoCTT,AtoCEF,AtoCSpeed,BtoC Lead st,BtoC Lead ut,BtoC last st,BtoC last ut,BtoCTT,BtoCEF,BtoCSpeed,CtoCright Lead st,CtoCright Lead ut,CtoCright last st,CtoCright last ut,CtoCrightTT,CtoCrightEF,CtoCrightSpeed
2,0,-0.5,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,-0.3333333333333333,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,-0.25,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,-0.2,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,-0.16666666666666666,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,-0.14285714285714285,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,-0.125,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,-0.1111111111111111,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,-0.1,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0.0,0.55,0,0,0,0,0,0,0,0,100000,0,100000,21.264816241539066,0.0,13.599929419332184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0.0,0.55,0,100000,0,100000,22.315206673600713,0.0,12.959772420218215,0,100000,0,100000,22.051245576331397,0.0,13.11490541425068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0.0,0.55,0,100000,0,100000,22.86414820929171,0.0,12.648623397327029,0,100000,0,100000,21.154142625465333,0.0,13.671081126770005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0.0,0.55,0,100000,0,100000,22.95229058313378,0.0,12.600049609537237,0,100000,0,100000,21.175444074512228,0.0,13.65732869555708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0.0,0.55,0,100000,0,100000,21.632488363202356,0.0,13.368781027148945,0,100000,0,100000,21.21657639340851,0.0,13.630851398336237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0.0,0.55,0,100000,0,100000,21.611971370057756,0.0,13.381472474124749,0,100000,0,100000,22.292207076894464,0.0,12.973143439877312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0.0,0.55,0,100000,0,100000,22.20216804410391,0.0,13.025754936432932,0,100000,0,100000,22.214715593014255,0.0,13.018397592762485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0.0,0.55,0,100000,0,100000,22.040864342067266,0.0,13.121082527060063,0,100000,0,100000,21.65133613566212,0.0,13.35714332768849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0.0,0.55,0,100000,0,100000,22.13520484999354,0.0,13.065160316331314,0,100000,0,100000,22.23900860284632,0.0,13.004176812224712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0.0,0.55,0,100000,0,100000,22.51115532509545,0.0,12.846963908493832,0,100000,0,100000,21.74153129635573,0.0,13.301730961722788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0.0,0.55,0,100000,0,100000,21.79847097461178,0.0,13.266985576044537,0,100000,0,100000,21.726412993750387,0.0,13.310986957818969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0.0,0.55,0,100000,0,100000,22.072313580548492,0.0,13.102387248378946,0,100000,0,100000,22.28815144337959,0.0,12.975504080483226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0.0,0.55,0,100000,0,100000,21.436603755203787,0.0,13.49094302915386,0,100000,0,100000,21.586928664439352,0.0,13.39699614037294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0.0,0.55,0,100000,0,100000,21.808247942751535,0.0,13.261037785299123,0,100000,0,100000,21.846455044585454,0.0,13.237845655498095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0.0,0.55,0,100000,0,100000,21.749591879460258,0.0,13.296801227480174,0,100000,0,100000,21.90125306781549,0.0,13.2047239080118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0.0,0.55,0,100000,0,100000,21.90626213564924,0.0,13.201704526732987,0,100000,0,100000,21.64259771312116,0.0,13.362536412376599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0.0,0.55,0,100000,0,100000,21.823599957216942,0.0,13.251709184870903,0,100000,0,100000,21.42598223220857,0.0,13.49763090745313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0.0,0.55,0,100000,0,100000,21.93799094555778,0.0,13.182610965502294,0,100000,0,100000,21.693020086542404,0.0,13.3314770763251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0.0,0.55,0,100000,0,100000,21.93410736034311,0.0,13.184945037830621,0,100000,0,100000,22.03359555037858,0.0,13.125411117707069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0.0,0.55,0,100000,0,100000,21.828565160717336,0.0,13.248694903705536,0,100000,0,100000,21.94469478948798,0.0,13.17858383423649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0.0,0.55,0,100000,0,100000,21.489918550757917,0.0,13.45747306193491,0,100000,0,100000,22.094062785198258,0.0,13.089489371495189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0.0,0.55,0,100000,0,100000,22.25520387029665,0.0,12.994713581841706,0,100000,0,100000,21.838207757701095,0.0,13.242844981086673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0.030303030303030304,0.55,0,100000,0,100000,21.919333765049974,0.0,13.193831669333159,0,100000,0,100000,21.626246969236615,0.030303030303030304,13.372639293881534,0,100000,0,100000,31.70902797850876,0.0,12.937640355234034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0.029411764705882353,0.55,0,100000,0,100000,21.73796026765379,0.029411764705882353,13.303916119045045,0,100000,0,100000,21.907289360707537,0.030303030303030304,13.201085503471878,0,100000,0,100000,29.719704472170378,0.0,13.803636586768553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0.02857142857142857,0.55,0,100000,0,100000,22.150705468189415,0.029411764705882353,13.056017579905955,0,100000,0,100000,22.81789971678507,0.030303030303030304,12.674260277656565,0,100000,0,100000,30.082147252524265,0.0,13.637324375691824,0,100000,0,100000,22.460950822985712,0.0,12.875679319151677,0,0,0,0,0,0,0
36,0,0.027777777777777776,0.55,0,100000,0,100000,21.869753822978645,0.029411764705882353,13.223742815803272,0,100000,0,100000,23.354090472032908,0.030303030303030304,12.383269660889772,0,100000,0,100000,31.018444305315175,0.0,13.225679404227995,0,100000,0,100000,21.744564616333037,0.0,13.299875398874283,0,0,0,0,0,0,0
37,0,0.02702702702702703,0.55,0,100000,0,100000,22.32285109865758,0.05405405405405406,12.955334366647794,0,100000,0,100000,24.59178826093481,0.030303030303030304,11.760023180559322,0,100000,0,100000,31.347823415439755,0.0,13.086714014024475,0,100000,0,100000,22.66241943029746,0.0,12.761214701258577,0,0,0,0,0,0,0
38,0,0.02631578947368421,0.55,0,100000,0,100000,21.681338615329263,0.05405405405405406,13.338659809294624,0,100000,0,100000,25.8397866501396,0.030303030303030304,11.192042872321377,0,100000,0,100000,31.78083775369359,0.0,12.908407361046411,0,100000,0,100000,22.66536761829351,0.0,12.759554791715928,0,0,0,0,0,0,0
39,0,0.02564102564102564,0.55,0,100000,0,100000,21.779386996940985,0.05405405405405406,13.27861064412049,0,100000,0,100000,26.63906436120747,0.030303030303030304,10.856237144016998,0,100000,0,100000,30.135291284268707,0.0,13.613274752520956,0,100000,0,100000,21.747612405815705,0.0,13.298011505973992,0,0,0,0,0,0,0
40,0,0.025,0.55,0,100000,0,100000,21.91001993887359,0.075,13.199440292926907,0,100000,0,100000,28.938638004424458,0.030303030303030304,9.993559474215196,0,100000,0,100000,31.73660824193563,0.0,12.926397076607682,0,100000,0,100000,22.30127435062006,0.0,12.967868806652259,0,0,0,0,0,0,0
41,0,0.024390243902439025,0.55,0,100000,0,100000,22.01285680853651,0.075,13.137776823581081,0,100000,0,100000,29.469288249015808,0.030303030303030304,9.813606543743331,0,100000,0,100000,30.228626495336368,0.0,13.571241818191485,0,100000,0,100000,22.226046347665967,0.0,13.011760862739758,0,0,0,0,0,0,0
