time,queue length n,outflow,inflow,AtoB Lead st,AtoB Lead ut,AtoB last st,AtoB last ut,AtoBTT,AtoBEF,BtoA Lead st,BtoA Lead ut,BtoA last st,BtoA last ut,BtoATT,BtoAEF,AtoC Lead st,AtoC Lead ut,AtoC last st,AtoC last ut,AtoCTT,AtoCEF,BtoC Lead st,BtoC Lead ut,BtoC last st,BtoC last ut,BtoCTT,BtoCEF,CtoCright Lead st,CtoCright Lead ut,CtoCright last st,CtoCright last ut,CtoCrightTT,CtoCrightEF
2,0,-0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,-0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,-0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,-0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,-0.16666666666666666,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,-0.14285714285714285,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,-0.125,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,-0.1111111111111111,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,-0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,-0.09090909090909091,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0.0,0.5,0,0,0,0,0,0,0,100000,0,100000,22.609883656476836,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0.0,0.5,0,0,0,0,0,0,0,100000,0,100000,20.849273545720457,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0.0,0.5,0,0,0,0,0,0,0,100000,0,100000,22.21228961060382,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0.0,0.5,0,0,0,0,0,0,0,100000,0,100000,21.241288806346315,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0.0,0.5,0,0,0,0,0,0,0,100000,0,100000,21.2818815622673,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0.0,0.5,0,0,0,0,0,0,0,100000,0,100000,21.933983700009016,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0.0,0.5,0,100000,0,100000,45.305091899203894,0.0,0,100000,0,100000,22.191294667002218,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0.0,0.5,0,100000,0,100000,33.071960504501305,0.0,0,100000,0,100000,21.801263262231718,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0.0,0.5,0,100000,0,100000,28.262434413458084,0.0,0,100000,0,100000,21.88898822623643,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0.0,0.5,0,100000,0,100000,22.67466928811627,0.0,0,100000,0,100000,22.468984158043813,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0.0,0.5,0,100000,0,100000,22.418135889213257,0.0,0,100000,0,100000,21.24332821697845,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0.0,0.5,0,100000,0,100000,22.53021316596677,0.0,0,100000,0,100000,21.327062741727985,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0.0,0.5,0,100000,0,100000,21.28212584140967,0.0,0,100000,0,100000,21.62659435146921,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0.0,0.5,0,100000,0,100000,22.220563280738336,0.0,0,100000,0,100000,21.66136186689174,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0.0,0.5,0,100000,0,100000,21.781395406273116,0.0,0,100000,0,100000,22.005711264277856,0.0,0,100000,0,100000,61.33046082567932,0.0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0.0,0.5,0,100000,0,100000,20.976617320197555,0.0,0,100000,0,100000,22.055887137249623,0.0,0,100000,0,100000,46.93210649444025,0.0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0.0,0.5,0,100000,0,100000,21.671724365051986,0.0,0,100000,0,100000,22.01546726251686,0.0,0,100000,0,100000,39.80396731849605,0.0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0.0,0.5,0,100000,0,100000,22.700398371796712,0.0,0,100000,0,100000,21.818926803722874,0.0,0,100000,0,100000,33.84418938825039,0.0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0.0,0.5,0,100000,0,100000,20.98316961965719,0.0,0,100000,0,100000,21.78387271778162,0.0,0,100000,0,100000,30.251270540316334,0.0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0.0,0.5,0,100000,0,100000,21.345946054619514,0.0,0,100000,0,100000,22.15988915027097,0.0,0,100000,0,100000,41.41585555174696,0.0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0.0,0.5,0,100000,0,100000,21.69484701784679,0.0,0,100000,0,100000,21.85350690782221,0.0,0,100000,0,100000,37.06994389115671,0.0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0.0,0.5,0,100000,0,100000,22.455957086995546,0.0,0,100000,0,100000,23.113372598053154,0.0,0,100000,0,100000,35.42759260786609,0.0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0.0,0.5,0,100000,0,100000,21.181899539923673,0.0,0,100000,0,100000,24.273653002822748,0.0,0,100000,0,100000,31.870116480940368,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0.0,0.5,0,100000,0,100000,21.076121348532904,0.0,0,100000,0,100000,25.83730568619241,0.0,0,100000,0,100000,31.243987152828144,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0.0,0.5,0,100000,0,100000,21.704695402974366,0.0,0,100000,0,100000,27.02961768234624,0.0,0,100000,0,100000,30.3489464902129,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,0.0,0.5,0,100000,0,100000,21.814739921871126,0.0,0,100000,0,100000,28.589719194141047,0.0,0,100000,0,100000,31.095076983611886,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,0.0,0.5,0,100000,0,100000,21.81989229624354,0.0,0,100000,0,100000,28.974188808698777,0.0,0,100000,0,100000,35.49493719384601,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,0.02564102564102564,0.5,1.0,1.0,1.0,1.0,21.225193131303914,0.0,1.0,1.0,1.0,1.0,27.976093600431774,0.02564102564102564,1.0,1.0,1.0,1.0,34.37074940004079,0.0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0.025,0.5,0.9743589743589743,1.4743589743589745,0.9743589743589743,1.4743589743589745,22.176948206596386,0.0,0.9743589743589743,1.4743589743589745,0.9743589743589743,1.4743589743589745,29.369947732980357,0.02564102564102564,0.9743589743589743,1.4743589743589745,0.9743589743589743,1.4743589743589745,32.13761337573432,0.0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0.024390243902439025,0.5,0,0,0,0,0,0,0.9487179487179487,1.9487179487179487,0.9487179487179487,1.9487179487179487,28.846885748424988,0.02564102564102564,0.9487179487179487,1.9487179487179487,0.9487179487179487,1.9487179487179487,36.82282656663123,0.0,0.9487179487179487,1.9487179487179487,0.9487179487179487,1.9487179487179487,21.81285429646532,0.0,0,0,0,0,0,0
42,0,0.023809523809523808,0.5,0,0,0,0,0,0,0.9230769230769231,2.423076923076923,0.9230769230769231,2.423076923076923,30.181715983797982,0.02564102564102564,0.9230769230769231,2.423076923076923,0.9230769230769231,2.423076923076923,34.41645355523656,0.0,0.9230769230769231,2.423076923076923,0.9230769230769231,2.423076923076923,21.835675305472904,0.0,0,0,0,0,0,0
43,0,0.023255813953488372,0.5,0,0,0,0,0,0,0.8974358974358975,2.8974358974358974,0.8974358974358975,2.8974358974358974,32.527246668684526,0.02564102564102564,0.8974358974358975,2.8974358974358974,0.8974358974358975,2.8974358974358974,33.219272054495356,0.0,0.8974358974358975,2.8974358974358974,0.8974358974358975,2.8974358974358974,22.113036377009617,0.0,0,0,0,0,0,0
44,0,0.022727272727272728,0.5,0,0,0,0,0,0,0.8717948717948718,3.371794871794872,0.8717948717948718,3.371794871794872,33.830726138355,0.02564102564102564,0.8717948717948718,3.371794871794872,0.8717948717948718,3.371794871794872,32.27928156867092,0.0,0.8717948717948718,3.371794871794872,0.8717948717948718,3.371794871794872,20.879162249431864,0.0,0,0,0,0,0,0
45,1,0.022222222222222223,0.5,0,0,0,0,0,0,0.8461538461538461,3.846153846153846,0.8461538461538461,3.846153846153846,35.22873140141678,0.02564102564102564,0.8461538461538461,3.846153846153846,0.8461538461538461,3.846153846153846,32.93895734073362,0.0,0.8461538461538461,3.846153846153846,0.8461538461538461,3.846153846153846,21.903510213374283,0.0,0,0,0,0,0,0
